box_location,year,day_collect,extract,id,site,mother,father,no_egg,date_hatch_incorrect,no_chicks,date_collect,date_hatch,age
B2,2002,607,C1,C01,KUM,H166091,D343,9,2024-06-07,9,2020-06-07,2020-06-07,0
B3,2002,615,C1,C02,TEE,H154356,D259,8,2024-06-07,7,2020-06-15,2020-06-07,8
B4,2002,610,C1,C03,NYR,H166017,D468,9,2024-06-07,9,2020-06-10,2020-06-07,3
B5,2002,608,C1,C04,KUM,H166029,D364,8,2024-06-04,7,2020-06-08,2020-06-04,4
B6,2002,626,C1,C05,NYR,H166016,NA,6,2024-06-23,4,2020-06-26,2020-06-23,3
B7,2003,620,C1,C06,NYR,H166097,NA,8,2024-06-19,8,2020-06-20,2020-06-19,1
B8,2003,624,C1,C07,NYR,H166169,D320,9,2024-06-13,9,2020-06-24,2020-06-13,11
C2,2003,610,C2,C48,KUM,H166071,D375,9,2024-06-09,9,2020-06-10,2020-06-09,1
C3,2004,609,C1,C09,KUM,H154513,D483,7,2024-06-08,7,2020-06-09,2020-06-08,1
C5,2004,609,C1,C10,NYR,H166060,D349,10,2024-06-08,10,2020-06-09,2020-06-08,1
C6,2004,706,C1,C11,NYR,H166070,D285,6,2024-07-04,6,2020-07-06,2020-07-04,2
C7,2004,609,C1,C12,TEE,H167412,NA,9,1900-06-08,9,2020-06-09,2020-06-08,1
C8,2005,608,C1,C13,KUM,H167484,NA,8,2024-06-08,8,2020-06-08,2020-06-08,0
D2,2005,701,C1,C14,KUM,H167485,D023,7,2024-06-07,7,2020-07-01,2020-06-07,24
D3,2005,612,C1,C15,LEH,H167479,NA,8,2024-06-12,8,2020-06-12,2020-06-12,0
D4,2005,613,C1,C16,NYR,H167462,D962,9,2024-06-13,9,2020-06-13,2020-06-13,0
D5,2005,612,C1,C17,SAA,H167487,D160,7,2024-06-11,7,2020-06-12,2020-06-11,1
D6,2005,611,C1,C18,SAA,H167489,NA,9,2024-06-11,9,2020-06-11,2020-06-11,0
D7,2005,607,C1,C19,TEE,H167560,NA,10,2024-06-07,10,2020-06-07,2020-06-07,0
D8,2005,609,C1,C20,TEE,H167442,NA,9,2024-06-09,9,2020-06-09,2020-06-09,0
E2,2006,615,C1,C21,KUM,H171930,NA,9,2024-06-15,9,2020-06-15,2020-06-15,0
E3,2006,613,C1,C22,KUM,H167547,D210,10,2024-06-13,10,2020-06-13,2020-06-13,0
E4,2006,614,C1,C23,KUM,H171929,D896,11,2024-06-14,11,2020-06-14,2020-06-14,0
E5,2006,614,C1,C24,KUM,H169747,D896,8,2024-06-14,8,2020-06-14,2020-06-14,0
E6,2006,616,C1,C08,LEH,H169726,D009,9,2024-06-16,NA,2020-06-16,2020-06-16,0
E7,2006,614,C2,C25,LEH,H169724,NA,10,2024-06-13,10,2020-06-14,2020-06-13,1
F2,2006,612,C2,C26,NYR,H167395,NA,10,2024-06-12,10,2020-06-12,2020-06-12,0
F3,2006,618,C2,C44,NYR,H169615,D949,10,2024-06-18,9,2020-06-18,2020-06-18,0
F4,2006,611,C2,C27,NYR,H169728,NA,9,2024-06-11,9,2020-06-11,2020-06-11,0
F6,2006,626,C2,C45,SAA,H169705,D160,8,2024-06-26,8,2020-06-26,2020-06-26,0
F7,2006,616,C2,C28,LEH,H169721,D009,8,2024-06-16,8,2020-06-16,2020-06-16,0
F8,2006,614,C2,C29,TEE,H171928,NA,8,2024-06-14,8,2020-06-14,2020-06-14,0
G2,2007,606,C2,C30,KUM,H169666,NA,7,2024-06-06,7,2020-06-06,2020-06-06,0
G4,2007,605,C2,C31,NYR,H169742,NA,8,2024-06-05,8,2020-06-05,2020-06-05,0
G5,2007,613,C2,C46,NYR,H169608,NA,9,2024-06-13,9,2020-06-13,2020-06-13,0
G7,2008,607,C2,C32,KUM,H171986,NA,9,2024-06-09,9,2020-06-07,2020-06-09,-2
G8,2008,609,C2,C33,KUM,H173546,NA,7,2024-06-09,7,2020-06-09,2020-06-09,0
H2,2008,609,C2,C34,KUM,H169625,NA,7,2024-06-12,NA,2020-06-09,2020-06-12,-3
H3,2008,612,C2,C35,LEH,H173526,NA,8,2024-06-11,8,2020-06-12,2020-06-11,1
H4,2008,611,C2,C36,LEH,H169720,NA,9,2024-06-12,NA,2020-06-11,2020-06-12,-1
H5,2008,612,C2,C47,LEH,H171535,NA,8,2024-06-06,8,2020-06-12,2020-06-06,6
H6,2008,606,C2,C37,NYR,H169636,NA,8,2024-06-08,8,2020-06-06,2020-06-08,-2
H7,2008,608,C2,C38,NYR,H171757,NA,10,2024-06-10,10,2020-06-08,2020-06-10,-2
H8,2008,608,C2,C39,SAA,H173465,NA,9,2024-06-08,9,2020-06-08,2020-06-08,0
I3,2004 HSP,610,C2,C40,KUM,H154532,D376,8,NA,8,2020-06-10,NA,NA
I4,2006 HSP,615,C2,C41,NYR,H169566,NA,9,2024-06-15,9,2020-06-15,2020-06-15,0
I5,2007 HSP,607,C2,C42,LEH,H171857,NA,9,2024-06-07,9,2020-06-07,2020-06-07,0
I6,2007 HSP,607,C2,C43,SAA,H171946,NA,8,2024-06-07,7,2020-06-07,2020-06-07,0
